Agent-Reach-main.zip	651297 bytes
Archon-dev.zip	4751373 bytes
BMAD-METHOD-main.zip	3249169 bytes
JARVIS_IDENTITY_ENGINE_SPEC.md	22445 bytes
LFM2.5-1.2B-Instruct-Q4_K_M.gguf	730895168 bytes
Qwen3-1.7B-Q4_K_M.gguf	1282439264 bytes
TencentDB-Agent-Memory-feat-server_team.zip	34801408 bytes
ar_JO-kareem-medium.onnx	63201294 bytes
autoresearch-master.zip	389970 bytes
claude-squad-main.zip	1016665 bytes
context7-master.zip	18602843 bytes
daytona-main.zip	123401 bytes
en_US-lessac-medium.onnx	63201294 bytes
gpt-researcher-main.zip	14802275 bytes
graphify-8.zip	4523013 bytes
inference.pdiparams	8916816 bytes
kimi-k3-in-c-main.zip	32372851 bytes
litellm-litellm_internal_staging.zip	56699813 bytes
llama.cpp-master.zip	38558521 bytes
model.onnx	470268510 bytes
model.safetensors	966995080 bytes
model_O4.onnx	235052531 bytes
model_qint8_arm64.onnx	118412398 bytes
model_qint8_avx512_vnni.onnx	118346824 bytes
ollama-main.zip	29545919 bytes
openWakeWord-main.zip	3181427 bytes
openvino_model.bin	470027936 bytes
playwright-main.zip	42575678 bytes
pydantic-ai-main.zip	157201581 bytes
pytorch_model.bin	470681649 bytes
ralph-main.zip	4826368 bytes
reverse-skill-main.zip	4051927 bytes
second-brain-main.zip	5853454 bytes
sentencepiece.bpe.model	5069051 bytes
sherpa-onnx-master.zip	14512768 bytes
silero-vad-master.zip	28224410 bytes
silero_vad_v6.2.1.onnx	2327524 bytes
strix-main.zip	4931514 bytes
superpowers-main.zip	670933 bytes
tokenizer.json	17082730 bytes
tokenizer_config.json	443 bytes
voicebox-main.zip	49921183 bytes
